year,LineCode,airport,gdp
2011-01-01,76.0,LGA,19904202.0
2011-01-01,76.0,EWR,19904202.0
2011-01-01,79.0,JFK,30719957.0
2011-01-01,79.0,LGA,30719957.0
2011-01-01,79.0,EWR,30719957.0
2011-01-01,82.0,JFK,25592355.0
2011-01-01,82.0,LGA,25592355.0
2011-01-01,82.0,EWR,25592355.0
2011-01-01,83.0,JFK,126061916.0
2011-01-01,83.0,LGA,126061916.0
2011-01-01,83.0,EWR,126061916.0
2011-01-01,,JFK,
2011-01-01,,LGA,
2011-01-01,,EWR,
2011-01-01,87.0,JFK,
2011-01-01,87.0,LGA,
2011-01-01,87.0,EWR,
2011-01-01,88.0,JFK,
2011-01-01,88.0,LGA,
2011-01-01,88.0,EWR,
2011-01-01,89.0,JFK,
2011-01-01,89.0,LGA,
2011-01-01,89.0,EWR,
2011-01-01,90.0,JFK,
2011-01-01,90.0,LGA,
2011-01-01,90.0,EWR,
2011-01-01,91.0,JFK,
2011-01-01,91.0,LGA,
2011-01-01,91.0,EWR,
2011-01-01,92.0,JFK,
2011-01-01,92.0,LGA,
2011-01-01,92.0,EWR,
2011-01-01,1.0,MCO,93965629.0
2011-01-01,2.0,MCO,84914685.0
2011-01-01,3.0,MCO,472443.0
2011-01-01,6.0,MCO,55998.0
2011-01-01,10.0,MCO,881630.0
2011-01-01,11.0,MCO,3633906.0
2011-01-01,12.0,MCO,4667599.0
2011-01-01,13.0,MCO,3304139.0
2011-01-01,25.0,MCO,1363460.0
2011-01-01,34.0,MCO,6303360.0
2011-01-01,35.0,MCO,6729558.0
2011-01-01,36.0,MCO,3114884.0
2011-01-01,45.0,MCO,4284223.0
2011-01-01,50.0,MCO,20214882.0
2011-01-01,51.0,MCO,3996693.0
2011-01-01,56.0,MCO,16218189.0
2011-01-01,59.0,MCO,12994339.0
2011-01-01,60.0,MCO,6774304.0
2011-01-01,64.0,MCO,1450866.0
2011-01-01,65.0,MCO,4769170.0
2011-01-01,68.0,MCO,8654936.0
2011-01-01,69.0,MCO,1230228.0
2011-01-01,70.0,MCO,7424707.0
2011-01-01,75.0,MCO,10803241.0
2011-01-01,76.0,MCO,4496915.0
2011-01-01,79.0,MCO,6306326.0
2011-01-01,82.0,MCO,2103685.0
2011-01-01,83.0,MCO,9050944.0
2011-01-01,,MCO,
2011-01-01,87.0,MCO,528441.0
2011-01-01,88.0,MCO,13032918.0
2011-01-01,89.0,MCO,3996514.0
2011-01-01,90.0,MCO,8951822.0
2011-01-01,91.0,MCO,8829946.0
2011-01-01,92.0,MCO,76084739.0
2011-01-01,1.0,PHL,349811165.0
2011-01-01,2.0,PHL,315490254.0
2011-01-01,3.0,PHL,
2011-01-01,6.0,PHL,
2011-01-01,10.0,PHL,7051483.0
2011-01-01,11.0,PHL,
2011-01-01,12.0,PHL,
2011-01-01,13.0,PHL,
2011-01-01,25.0,PHL,
2011-01-01,34.0,PHL,23597474.0
2011-01-01,35.0,PHL,16798033.0
2011-01-01,36.0,PHL,8072711.0
2011-01-01,45.0,PHL,26768112.0
2011-01-01,50.0,PHL,81864504.0
2011-01-01,51.0,PHL,35299027.0
2011-01-01,56.0,PHL,46565477.0
2011-01-01,59.0,PHL,51834534.0
2011-01-01,60.0,PHL,
2011-01-01,64.0,PHL,
2011-01-01,65.0,PHL,9535465.0
2011-01-01,68.0,PHL,40425863.0
2011-01-01,69.0,PHL,9623010.0
2011-01-01,70.0,PHL,30802852.0
2011-01-01,75.0,PHL,10101382.0
2011-01-01,76.0,PHL,3585455.0
2011-01-01,79.0,PHL,6515927.0
2011-01-01,82.0,PHL,6409968.0
2011-01-01,83.0,PHL,34320911.0
2011-01-01,,PHL,
2011-01-01,87.0,PHL,
2011-01-01,88.0,PHL,40395507.0
2011-01-01,89.0,PHL,15124194.0
2011-01-01,90.0,PHL,
2011-01-01,91.0,PHL,42566190.0
2011-01-01,92.0,PHL,272924064.0
2011-01-01,1.0,PHX,182446635.0
2011-01-01,2.0,PHX,161901576.0
2011-01-01,3.0,PHX,723032.0
2011-01-01,6.0,PHX,2430191.0
2011-01-01,10.0,PHX,3429187.0
2011-01-01,11.0,PHX,6976403.0
2011-01-01,12.0,PHX,17821182.0
2011-01-01,13.0,PHX,14253022.0
2011-01-01,25.0,PHX,3568159.0
2011-01-01,34.0,PHX,13302945.0
2011-01-01,35.0,PHX,14539762.0
2011-01-01,36.0,PHX,5637018.0
2011-01-01,45.0,PHX,5543674.0
2011-01-01,50.0,PHX,38708176.0
2011-01-01,51.0,PHX,13221242.0
2011-01-01,56.0,PHX,25486934.0
2011-01-01,59.0,PHX,22903451.0
2011-01-01,60.0,PHX,11833832.0
2011-01-01,64.0,PHX,2158824.0
2011-01-01,65.0,PHX,8910795.0
2011-01-01,68.0,PHX,18185767.0
2011-01-01,69.0,PHX,2889549.0
2011-01-01,70.0,PHX,15296217.0
2011-01-01,75.0,PHX,8075168.0
2011-01-01,76.0,PHX,1729000.0
2011-01-01,79.0,PHX,6346167.0
